Delhi,19,Saturday 7:00 PM
"Kolkata, West Bengal",21,Saturday 7:00 PM
"Jhargram, West Bengal",21,Saturday 7:00 PM
"Mumbai, Maharashtra",26,Saturday 7:00 PM
"Pune, Maharashtra",24,Saturday 7:00 PM
"Panaji, Goa",27,Saturday 7:00 PM
"Ahmedabad, Gujarat",26,Saturday 7:00 PM
"Jaipur, Rajasthan",18,Saturday 7:00 PM
Chandigarh,16,Saturday 7:00 PM
"Ludhiana, Punjab",16,Saturday 7:00 PM
"Patiala, Punjab",16,Saturday 7:00 PM
"Manali, Himachal Pradesh",5,Saturday 7:00 PM
Srinagar,10,Saturday 7:00 PM
"Noida, Uttar Pradesh",18,Saturday 7:00 PM
"Kanpur, Uttar Pradesh",18,Saturday 7:00 PM
"Bhopal, Madhya Pradesh",21,Saturday 7:00 PM
"Patna, Bihar",20,Saturday 7:00 PM
"Jamshedpur, Jharkhand",21,Saturday 7:00 PM
"Ranchi, Jharkhand",18,Saturday 7:00 PM
"Dhanbad, Jharkhand",21,Saturday 7:00 PM
"Cuttack, Odisha",22,Saturday 7:00 PM
"Bhubaneswar, Odisha",22,Saturday 7:00 PM
"Bengaluru, Karnataka",22,Saturday 7:00 PM
"Chennai, Tamil Nadu",27,Saturday 7:00 PM
"Hyderabad, Telangana",24,Saturday 7:00 PM
"Vijayawada, Andhra Pradesh",26,Saturday 7:00 PM
"Tiruchirappalli, Tamil Nadu",28,Saturday 7:00 PM
"Madurai, Tamil Nadu",28,Saturday 7:00 PM
"Thanjavur, Tamil Nadu",27,Saturday 7:00 PM
"Ooty, Tamil Nadu",12,Saturday 7:00 PM
"Kanyakumari, Tamil Nadu",28,Saturday 7:00 PM
Puducherry,27,Saturday 7:00 PM
"Kochi, Kerala",28,Saturday 7:00 PM
"Thiruvananthapuram, Kerala",28,Saturday 7:00 PM
"Guwahati, Assam",22,Saturday 7:00 PM
"Shillong, Meghalaya",16,Saturday 7:00 PM
"Gangtok, Sikkim",13,Saturday 7:00 PM
"Imphal, Manipur",17,Saturday 7:00 PM
"Kohima, Nagaland",14,Saturday 7:00 PM
"Gangtok, Sikkim",12,Saturday 7:00 PM
"Tokyo, Japan",5,Saturday 11:00 PM
"Osaka, Osaka Prefecture, Japan",7,Saturday 11:00 PM
"Okinawa Prefecture, Japan",18,Saturday 11:00 PM
"Kyoto, Kyoto Prefecture, Japan",3,Saturday 11:00 PM
"Seoul, South Korea",-1,Saturday 11:00 PM
"Ulaanbaatar, Mongolia",-17,Saturday 10:00 PM
"Pyongyang, North Korea",-1,Saturday 10:00 PM
"Beijing, China",4,Saturday 10:00 PM
"Shanghai, China",6,Saturday 10:00 PM
"Shenzhen, Guangdong, China",15,Saturday 10:00 PM
"Guangzhou, Guangdong, China",14,Saturday 10:00 PM
"Qingdao, Shandong, China",6,Saturday 10:00 PM
"Tianjin, China",2,Saturday 10:00 PM
Hong Kong,15,Saturday 10:00 PM
"Taipei, Taiwan",16,Saturday 10:00 PM
"Manila, Metro Manila, Philippines",27,Saturday 10:00 PM
"Ho Chi Minh City, Ho Chi Minh, Vietnam",26,Saturday 9:00 PM
